Age,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,NewAdditions,DiffSizes,EditDistances,CriticalEditDistances,TangledWMoveandFileRename,Buggycommiit,PotentiallyBuggycommit,RiskyCommit,file,Decision,Detection,result
4372,3#3#3,0.08278468996286392#0.08278468996286392#0.08278468996286392,0.8889860250998818#0.8889860250998818#0.8889860250998818,0#0#0,0#0#0,0#0#0,1#1#1,3.77#3.77#3.77,0#0#0,0#0#0,12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625,0#0#0,0#0#0,0#0#0,0#1383#2434,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,104.json,NotBuggy,NotBuggy,
2675,3#3#3,0.2466956526041031#0.2585362493991852#0.2585362493991852,0.622707613654529#0.48294329825976584#0.48294329825976584,0#0#0,0#0#0,0#0#0,1#1#1,2.49#3.77#3.77,0#0#0,1#1#1,23.0#23.0#23.0,129.58164978027344#129.58164978027344#129.58164978027344,0#0#0,2#2#2,0#0#0,0#74#734,0#3#0,0#6#0,0#21#0,0#6#0,0#316#1,0#0#0,0#0#0,0#0#0,9640.json,NotBuggy,NotBuggy,
6417,14#15#14#15#14#14#15#15#15#18#19#18#18#19#18#17#17#18#19#18#17#17#17#17#23#25#25#23#23#5#4#48#49#50#47#45#25#25#24#20#20#21#21#20#10#12#12#17#15#15#16,0.00656497199088335#0.0035441932268440723#0.00656497199088335#0.0035441932268440723#0.00656497199088335#0.006704851984977722#0.003619943745434284#0.003747551469132304#0.0036184785421937704#0.0016586461570113897#0.0013143835822120309#0.002212515799328685#0.002212515799328685#0.0013143835822120309#0.002212515799328685#0.004344379063695669#0.0037789978086948395#0.0033997276332229376#0.0016993597382679582#0.004889592528343201#0.005988721735775471#0.007614802569150925#0.007294351700693369#0.012643394991755486#0.019262393936514854#0.003103842493146658#0.00219987565651536#0.0030052238143980503#0.003283339086920023#0.07764159142971039#0.08633124828338623#0.0#0.0#0.0#0.0#0.0#0.001773279276676476#0.001773279276676476#0.0035120623651891947#0.004838165827095509#0.004868865478783846#0.003805596148595214#0.00468149408698082#0.004868865478783846#0.05580218881368637#0.019692450761795044#0.010563552379608154#0.001250745728611946#0.004658502526581287#0.004792538471519947#0.00558549165725708,2.560122340399079E-7#6.251187143461E-8#2.560122340399079E-7#9.055230881146277E-8#2.560122340399079E-7#5.049996698330203E-7#1.79869743724846E-7#1.8454401405136528E-7#1.859562904378435E-7#4.030672284011078E-9#2.021928397655942E-9#8.51387147694442E-9#8.51387147694442E-9#2.021928397655942E-9#8.51387147694442E-9#2.04317585563578E-8#3.893540427814087E-9#1.7409064369948003E-9#6.238736685656704E-10#2.421863184243771E-7#6.415448993641091E-7#4.860570267620606E-7#4.775745502482112E-7#1.0145937898379348E-6#5.4908279164095564E-8#9.910678190476233E-10#5.701835102995589E-10#1.3227350629863725E-9#1.8354480635811853E-9#0.15098372973148755#0.11422881160071777#1.4293700901520794E-25#1.102022443127433E-25#1.9172943748489805E-26#3.1786700555989273E-26#7.19245785843351E-19#9.381895033036902E-11#9.381895033036902E-11#6.152953550024975E-10#5.213917284917162E-9#5.220467139721573E-9#2.120587425299661E-9#4.064250917743539E-9#5.220467139721573E-9#0.007033771946107519#5.241106129930028E-5#3.07092512395658E-5#3.122514036044733E-6#1.817884061735651E-5#9.207894094512853E-6#1.0449246678186364E-5,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#2#2#2#1#1#0#0#6#6#6#6#2#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#2#2#2#1#1#0#0#4#4#4#4#3#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#4#4#4#2#2#0#0#10#10#10#10#5#0#0#0#0#0#0#0#0#0#0#0#2#0#0#0,3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#5#5#5#4#4#1#1#8#8#8#7#8#3#3#3#2#2#2#2#2#2#2#2#4#3#3#3,2.44#2.44#2.44#2.44#2.44#2.44#2.44#2.83#2.83#2.7#2.7#2.7#2.7#2.7#2.7#2.74#2.74#2.7#2.65#2.74#2.78#2.78#2.78#2.7#3.26#3.14#3.14#2.94#2.89#5.99#2.0#4.25#4.33#4.27#4.29#9.74#7.87#7.87#6.79#7.33#7.33#7.19#7.19#7.33#4.45#2.37#2.47#2.8#2.29#2.29#2.24,1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#2#2#2#2#2#0#0#3#3#3#3#4#1#1#1#1#1#1#1#1#1#1#1#2#1#1#1,9#10#9#10#9#9#10#10#10#13#13#12#12#13#12#11#12#13#14#9#8#9#9#9#12#15#15#14#14#3#3#43#44#45#45#22#15#15#13#12#12#13#13#12#3#10#10#11#11#11#12,129.0#136.0#129.0#134.0#129.0#127.0#132.0#132.0#132.0#155.0#159.0#152.0#152.0#159.0#152.0#146.0#154.0#159.0#165.0#133.0#127.0#127.0#127.0#127.0#157.0#178.0#180.0#172.0#172.0#39.0#39.0#377.0#382.0#391.0#384.0#297.0#189.0#189.0#179.0#162.0#162.0#168.0#164.0#162.0#74.0#107.0#111.0#134.0#125.0#128.0#131.0,93.34184265136719#91.9217529296875#93.34184265136719#91.99879455566406#93.34184265136719#93.48057556152344#92.13297271728516#92.13297271728516#92.13297271728516#88.20934295654297#87.20095825195312#88.33659362792969#88.33659362792969#87.20095825195312#88.33659362792969#89.49823760986328#89.194580078125#88.05184173583984#86.93505096435547#89.05721282958984#90.27776336669922#90.22322082519531#90.22322082519531#90.22322082519531#83.63838958740234#81.52311706542969#81.44406127929688#83.2822036743164#83.2822036743164#117.72811889648438#121.34304809570312#65.85926818847656#65.43171691894531#64.9470443725586#66.28530883789062#68.0837631225586#81.53301239013672#81.53301239013672#82.5146255493164#86.33920288085938#86.33920288085938#85.33830261230469#85.44265747070312#86.33920288085938#102.35516357421875#97.15960693359375#96.90803527832031#89.63734436035156#92.3603286743164#92.21007537841797#91.01782989501953,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#1#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#4#4#4#4#4#4#4#4#4#4#4#4#4#4#4#4,3#3#3#3#3#3#3#3#3#4#4#4#4#4#4#4#4#4#4#4#4#4#4#4#5#6#6#6#6#1#1#9#9#10#10#11#8#8#8#8#8#8#8#8#3#4#4#5#5#5#5,0#9#9#9#11#14#29#82#82#89#91#92#92#96#97#98#110#121#130#170#250#428#435#791#805#827#827#1071#1135#1314#2093#2172#2181#2719#3370#3424#3427#3428#3433#3438#4480#4850#4888#4999#5317#5550#6253#6284#6285#6328#6407,0#1#1#1#1#1#1#1#1#3#3#1#1#1#1#0#1#1#1#4#0#1#1#2#12#4#1#2#1#5#3#53#3#5#1#46#2#0#1#1#0#1#1#0#10#6#3#7#6#3#2,0#2#2#2#2#2#2#2#2#3#6#2#2#2#2#1#2#1#1#10#1#2#2#2#16#6#2#6#1#32#7#55#3#8#5#97#24#0#3#7#0#1#2#1#34#9#5#7#13#6#2,0#2#2#2#2#29#2#5#1#152#39#2#52#2#2#44#27#28#38#250#38#17#9#94#130#142#15#67#86#980#65#2004#95#175#47#1868#552#0#85#160#1#36#14#50#502#324#115#281#346#18#25,0#20#20#29#29#29#29#0#0#140#44#20#0#20#20#40#26#24#34#219#34#15#9#0#192#132#15#59#0#787#52#2150#30#112#67#1755#680#0#78#113#0#38#14#52#466#230#40#171#178#18#20,0#1#3#3#1#1#1#2#1#6#4#6#8#1#3#17#3#1#5#3#4#1#1#5#2#1#2#32#4#389#47#24#6#76#2#24#4#0#22#2#0#7#74#7#11#5#32#31#5#11#7,0#0#0#0#0#0#0#0#1#0#0#0#1#1#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0,0#0#0#1#0#0#0#0#1#0#0#1#1#1#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#1#1#1#1#0#0#1,0#0#0#1#0#0#0#0#1#0#0#0#1#1#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#1#0#0#0#0#0#0#1#0#1#1#1#1#0#0#1,761.json,Buggy,Buggy,NotBuggy
2364,15#15#10#10,0.08608544617891312#0.08608544617891312#0.7817968726158142#0.7694714665412903,0.08530899065778752#0.08530899065778752#0.27059867861599934#0.2648709888642927,2#2#1#1,2#2#1#1,4#4#2#2,4#4#3#3,5.06#5.06#3.95#3.95,3#3#2#2,3#3#1#1,69.0#69.0#51.0#51.0,95.82315826416016#95.82315826416016#104.34339141845703#104.34339141845703,0#0#0#0,1#1#1#1,2#2#2#2,0#427#1539#1675,0#0#5#1,0#0#15#2,0#0#229#6,0#0#228#6,0#0#16#28,0#0#0#0,0#0#0#1,0#0#0#1,2260.json,NotBuggy,NotBuggy,
4077,7#7#7#7#7,0.22536173462867737#0.22536173462867737#0.22536173462867737#0.11092543601989746#0.148477241396904,0.6664839039868653#0.6664839039868653#0.6664839039868653#0.3715017364553051#0.6224898305642086,1#1#1#1#1,1#1#1#1#1,2#2#2#2#2,2#2#2#2#2,3.02#3.02#3.02#3.02#3.02,1#1#1#1#1,2#2#2#2#2,29.0#29.0#29.0#36.0#36.0,113.98487091064453#113.98487091064453#113.98487091064453#112.77070617675781#112.77070617675781,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#1088#2135#2557#4067,0#0#0#2#2,0#0#0#4#4,0#0#0#6#48,0#0#0#6#8,0#0#0#196#573,0#0#0#0#0,0#0#0#1#0,0#0#0#1#0,5747.json,NotBuggy,NotBuggy,
2733,11#11#12#11#17#17,0.4335395395755768#0.4335395395755768#0.4246515929698944#0.3144187331199646#0.293645977973938#0.18777474761009216,0.006501441027976824#0.006501441027976824#0.008215291646340295#0.006409644926381546#5.535928615733178E-4#1.882121302309028E-4,1#1#1#1#1#1,1#1#1#1#1#1,2#2#2#2#2#2,3#3#3#3#5#5,6.67#6.67#6.63#3.45#4.33#4.33,1#1#2#2#3#3,4#4#4#6#6#6,72.0#72.0#73.0#73.0#99.0#103.0,100.56770324707031#100.56770324707031#99.08638763427734#100.42546844482422#91.08529663085938#90.8261489868164,0#0#0#0#0#0,2#2#2#2#2#2,4#4#4#3#3#3,0#796#834#2623#2623#2624,0#0#2#2#12#1,0#0#3#5#17#2,0#0#10#129#240#24,0#0#12#73#215#24,0#0#66#2#1#1,0#0#0#0#0#0,0#0#1#0#1#1,0#0#1#0#1#1,2810.json,NotBuggy,NotBuggy,
834,5#5#5#5,0.022613538429141045#0.025606853887438774#8.774740272201598E-4#0.0011657957220450044,0.1054724136798158#0.01447287962895279#0.05643473147815129#0.05575426854109297,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.96#1.96#4.38#4.38,0#0#0#0,7#7#4#4,46.0#59.0#45.0#45.0,117.09291076660156#115.32914733886719#116.85465240478516#116.85465240478516,0#0#0#0,0#2#2#2,0#0#0#0,0#0#0#0,0#6#2#1,0#10#6#2,0#77#125#10,0#75#106#10,0#13#17#23,0#0#0#0,0#0#0#0,0#0#0#0,2249.json,NotBuggy,NotBuggy,
6424,3#3#3,0.9147071242332458#0.9129472374916077#0.9129472374916077,0.9716714399980564#0.9547196565273707#0.9547196565273707,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625,0#0#0,0#0#0,0#0#0,0#3435#4487,0#0#0,0#0#0,0#8#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,474.json,NotBuggy,NotBuggy,
2309,7#7#7,0.9449180364608765#0.9449180364608765#0.9433522820472717,0.6511993534536011#0.6511993534536011#0.7074593594905704,0#0#0,0#0#0,0#0#0,1#1#1,1.98#1.98#1.98,0#0#0,1#1#1,35.0#35.0#34.0,112.91008758544922#112.91008758544922#113.13507080078125,0#0#0,0#0#0,1#1#1,0#368#538,0#0#1,0#0#2,0#0#6,0#0#6,0#0#34,0#0#0,0#0#0,0#0#0,6394.json,NotBuggy,NotBuggy,
1399,3#3#3#3,0.12999573349952698#0.12999573349952698#0.3014720380306244#0.12901845574378967,0.31810726051996474#0.31810726051996474#0.6216534183040611#0.41696280830538307,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,3.77#3.77#1.89#1.89,0#0#0#0,1#1#1#1,27.0#27.0#23.0#27.0,128.4090576171875#128.4090576171875#129.58164978027344#128.4090576171875,0#0#0#0,2#2#2#2,0#0#0#0,0#2#938#1389,0#3#1#1,0#3#2#2,0#0#28#12,0#0#12#12,0#170#181#197,0#0#0#0,0#0#0#0,0#0#0#0,4535.json,NotBuggy,NotBuggy,
2306,3#3#3,0.8862366676330566#0.8830590844154358#0.8830590844154358,0.6643371421790977#0.6622802328638052#0.6622802328638052,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,1#1#1,25.0#25.0#25.0,129.0255889892578#129.0255889892578#129.0255889892578,0#0#0,2#2#2,0#0#0,0#90#365,0#1#0,0#2#0,0#5#0,0#5#0,0#109#0,0#0#0,0#0#0,0#0#0,6177.json,NotBuggy,NotBuggy,
4372,3#3#3,0.8483309745788574#0.8483309745788574#0.8483309745788574,0.8992739758511087#0.8992739758511087#0.8992739758511087,0#0#0,0#0#0,0#0#0,1#1#1,3.77#3.77#3.77,0#0#0,0#0#0,12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625,0#0#0,0#0#0,0#0#0,0#1383#2434,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,274.json,NotBuggy,NotBuggy,
4372,3#3#3,0.7166913151741028#0.7166913151741028#0.7166913151741028,0.8287503624270923#0.8287503624270923#0.8287503624270923,0#0#0,0#0#0,0#0#0,1#1#1,3.77#3.77#3.77,0#0#0,1#1#1,15.0#15.0#15.0,132.25152587890625#132.25152587890625#132.25152587890625,0#0#0,0#0#0,0#0#0,0#1383#2434,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,260.json,NotBuggy,NotBuggy,
4653,5#5#5#5,0.6072116494178772#0.5975764989852905#0.5975764989852905#0.5975764989852905,0.7951013164776743#0.6862722198875251#0.6862722198875251#0.6862722198875251,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.96#1.96#1.96#1.96,0#0#0#0,2#2#2#2,25.0#25.0#25.0#25.0,120.7502212524414#120.7502212524414#120.7502212524414#120.7502212524414,0#0#0#0,2#2#2#2,0#0#0#0,0#387#1664#2712,0#0#0#0,0#0#0#0,0#24#0#0,0#0#0#0,0#16#0#6,0#0#0#0,0#0#0#0,0#0#0#0,7920.json,NotBuggy,NotBuggy,
892,4,0.037348438054323196,0.43960993565292034,0,0,0,1,2.0,0,2,31.0,123.13409423828125,0,2,0,0,0,0,0,0,0,0,0,0,6974.json,NotBuggy,NotBuggy,
886,3#3#7#3#3,0.7438061833381653#0.7374576330184937#0.32521581649780273#0.3853612542152405#0.3853612542152405,0.871827021269001#0.8677334879105164#0.8259836337613241#0.8682089654298958#0.8682089654298958,0#0#1#0#0,0#0#1#0#0,0#0#2#0#0,1#1#2#1#1,1.89#1.89#3.12#1.89#1.89,0#0#1#0#0,1#1#1#0#0,16.0#16.0#31.0#16.0#16.0,131.60296630859375#131.60296630859375#113.63807678222656#131.46876525878906#131.46876525878906,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#4#4,0#1#6#1#0,0#2#7#7#0,0#1#197#192#0,0#1#90#85#0,0#1#13#6#2,0#0#0#0#0,0#1#0#0#0,0#1#0#0#0,8103.json,NotBuggy,NotBuggy,
857,3,0.6956326961517334,0.75130916336222,1,1,2,2,1.89,0,1,20.0,129.8434600830078,0,0,0,0,0,0,0,0,0,0,0,0,7453.json,NotBuggy,NotBuggy,
5807,3#3#3,0.36922237277030945#0.36922237277030945#0.36922237277030945,0.9423792819999811#0.9423792819999811#0.9423792819999811,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,14.0#14.0#14.0,132.4454345703125#132.4454345703125#132.4454345703125,0#0#0,0#0#0,0#0#0,0#2818#3869,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,2527.json,NotBuggy,NotBuggy,
2675,6#6,0.031327228993177414#0.031327228993177414,0.06353687742683524#0.06353687742683524,0#0,0#0,0#0,1#1,1.89#1.89,0#0,4#4,47.0#47.0,113.87437438964844#113.87437438964844,0#0,2#2,1#1,0#734,0#0,0#0,0#0,0#0,0#1,0#0,0#0,0#0,9979.json,NotBuggy,NotBuggy,
6419,3#3#3#3#3#3#3,0.9420111179351807#0.9080740213394165#0.9432200193405151#0.9080740213394165#0.8063127994537354#0.8076630234718323#0.8063127994537354,0.9502587856874284#0.961805238337593#0.9712757569675721#0.961805238337593#0.9242917258529103#0.8523903529941119#0.9242917258529103,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,1#1#1#1#1#1#1,1.89#1.89#1.89#1.89#1.89#3.77#1.89,0#0#0#0#0#0#0,0#0#0#0#0#0#0,12.0#12.0#12.0#12.0#15.0#15.0#15.0,133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#131.9385528564453#131.9385528564453#131.9385528564453,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#1318#1320#1320#1670#3430#4482,0#1#1#1#1#0#0,0#2#2#2#2#0#0,0#16#8#8#6#16#16,0#8#8#8#6#0#0,0#4#10#4#67#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,26.json,NotBuggy,NotBuggy,
4122,3#3#3#3,0.3561488687992096#0.3561488687992096#0.3632929027080536#0.3612900972366333,0.9002338860891869#0.9002338860891869#0.8903186964226981#0.9141262742185989,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.89#1.89#3.77#1.89,0#0#0#0,0#0#0#0,17.0#17.0#17.0#17.0,131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344,0#0#0#0,1#1#1#1,0#0#0#0,0#1133#1245#2185,0#0#3#0,0#0#6#0,0#0#9#16,0#0#0#0,0#0#11#0,0#0#0#0,0#0#0#0,0#0#0#0,326.json,NotBuggy,NotBuggy,
5655,3#3#3#3,0.6527080535888672#0.6527080535888672#0.6527080535888672#0.6527080535888672,0.773684075305258#0.773684075305258#0.773684075305258#0.773684075305258,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.89#1.89#1.89#1.89,0#0#0#0,1#1#1#1,18.0#18.0#18.0#18.0,130.85629272460938#130.85629272460938#130.85629272460938#130.85629272460938,0#0#0#0,0#0#0#0,0#0#0#0,0#1389#2666#3718,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,2812.json,NotBuggy,NotBuggy,
834,5#5#5#5,0.022613538429141045#0.025606853887438774#8.774740272201598E-4#0.0011657957220450044,0.1054724136798158#0.01447287962895279#0.05643473147815129#0.05575426854109297,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.96#1.96#4.38#4.38,0#0#0#0,7#7#4#4,46.0#59.0#45.0#45.0,117.09291076660156#115.32914733886719#116.85465240478516#116.85465240478516,0#0#0#0,0#2#2#2,0#0#0#0,0#0#0#0,0#6#2#1,0#10#6#2,0#77#125#10,0#75#106#10,0#13#17#23,0#0#0#0,0#0#0#0,0#0#0#0,2253.json,NotBuggy,NotBuggy,
6426,3#3#3#3#3#3#3#3,0.9463393688201904#0.9451930522918701#0.8192288875579834#0.8192288875579834#0.8192288875579834#0.8192288875579834#0.8192288875579834#0.8192288875579834,0.9768538127430922#0.9603137940914435#0.9248771017575406#0.9248771017575406#0.9248771017575406#0.9248771017575406#0.9248771017575406#0.9248771017575406,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1,1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0,12.0#12.0#12.0#12.0#12.0#12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0,0#2106#2111#2111#3437#3532#3532#4489,0#1#2#0#0#0#0#0,0#2#4#0#0#0#0#0,0#8#25#0#0#0#0#0,0#0#25#0#0#0#0#0,0#28#74#19#0#3#4#0,0#0#0#0#0#0#0#0,0#1#0#1#0#0#0#0,0#1#0#1#0#0#0#0,1454.json,NotBuggy,NotBuggy,
2628,14#14#14#14#14#14#14,0.13047531247138977#0.14348798990249634#0.14348798990249634#0.14348798990249634#0.14912454783916473#0.14746099710464478#0.14539331197738647,3.0366359198119144E-6#2.833384702932759E-6#2.8351686556715526E-6#2.8351686556715526E-6#4.689965190750953E-6#6.828723363875816E-6#6.966672183924373E-6,2#2#2#2#2#2#2,1#1#1#1#1#1#1,3#3#3#3#3#3#3,2#2#2#2#2#2#2,2.33#2.82#2.82#2.82#2.33#2.33#2.33,1#1#1#1#1#1#1,8#8#8#8#8#8#8,118.0#118.0#118.0#118.0#118.0#116.0#116.0,93.98075866699219#93.98075866699219#93.98075866699219#93.98075866699219#93.98075866699219#94.06964874267578#94.06964874267578,0#0#0#0#0#0#0,2#2#2#2#2#2#2,6#6#6#6#6#6#6,0#27#410#686#1812#1939#2618,0#1#2#0#0#1#2,0#2#4#0#0#2#4,0#15#6#0#95#2#8,0#12#6#0#0#2#8,0#316#117#1#0#44#573,0#0#0#0#0#0#0,0#0#0#0#0#1#0,0#0#0#0#0#1#0,10336.json,NotBuggy,NotBuggy,
834,3#3#3,0.6318097710609436#0.8835163712501526#0.8857902884483337,0.6828246512577298#0.8004011823901581#0.8028735660573069,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,1#0#0,22.0#19.0#19.0,129.69032287597656#130.70933532714844#130.70933532714844,0#0#0,1#1#1,0#0#0,0#17#20,0#1#1,0#2#2,0#7#6,0#7#6,0#65#23,0#0#0,0#0#0,0#0#0,2013.json,NotBuggy,NotBuggy,
1404,5#5#5,0.0572759285569191#0.0572759285569191#0.05671681836247444,0.28897518938114347#0.28897518938114347#0.4282850442748863,0#0#0,0#0#0,0#0#0,1#1#1,3.92#3.92#1.96,0#0#0,3#3#3,33.0#33.0#33.0,118.99382781982422#118.99382781982422#118.99382781982422,0#0#0,2#2#2,0#0#0,0#22#589,0#0#0,0#0#0,0#0#32,0#0#0,0#2#1,0#0#0,0#0#0,0#0#0,4795.json,NotBuggy,NotBuggy,
5600,3#3#3#3#3,0.6507353186607361#0.6493409872055054#0.6493409872055054#0.8569075465202332#0.8569075465202332,0.8345686074827267#0.8300206083730396#0.8300206083730396#0.889516065271132#0.889516065271132,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,0.94#1.89#1.89#1.89#1.89,0#0#0#0#0,0#0#0#0#0,16.0#16.0#16.0#14.0#14.0,131.46876525878906#131.46876525878906#131.46876525878906#132.4454345703125#132.4454345703125,0#0#0#0#0,1#1#1#1#1,0#0#0#0#0,0#1334#2611#2627#3663,0#0#0#1#0,0#0#0#2#0,0#3#0#5#0,0#0#0#5#0,0#12#0#20#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1731.json,NotBuggy,NotBuggy,
2126,10#10#10,0.04722945764660835#0.04722945764660835#0.027296282351017,0.0014257714963608766#0.0014257714963608766#2.923463062252533E-4,0#0#0,0#0#0,0#0#0,2#2#2,2.99#2.99#2.99,1#1#1,9#9#10,75.0#75.0#83.0,102.24432373046875#102.24432373046875#101.67768096923828,0#0#0,1#1#1,1#1#1,0#189#288,0#0#1,0#0#2,0#0#42,0#0#42,0#0#2,0#0#0,0#0#0,0#0#0,2546.json,NotBuggy,NotBuggy,
892,4,0.05272137373685837,0.4375117117237248,0,0,0,1,2.0,0,2,31.0,123.13409423828125,0,2,0,0,0,0,0,0,0,0,0,0,6926.json,NotBuggy,NotBuggy,
4152,10#10#10#10#14#14#14,0.04110570251941681#0.06307566910982132#0.06307566910982132#0.06307566910982132#0.047901686280965805#0.047901686280965805#0.047901686280965805,6.335558363338403E-4#4.041971962754996E-4#4.041971962754996E-4#4.041971962754996E-4#0.003159595742234189#0.003159595742234189#0.003159595742234189,3#3#3#3#3#3#3,4#4#4#4#4#4#4,7#7#7#7#7#7#7,4#4#4#4#4#4#4,2.15#2.15#2.15#2.15#2.37#2.37#2.37,1#1#1#1#1#1#1,4#4#4#4#4#4#4,86.0#87.0#87.0#87.0#86.0#86.0#86.0,101.15626525878906#101.09614562988281#101.09614562988281#101.09614562988281#95.74961853027344#95.74961853027344#95.74961853027344,0#0#0#0#0#0#0,0#0#0#0#0#0#0,2#2#2#2#2#2#2,0#0#1163#2215#2989#3224#3286,0#3#0#0#1#0#0,0#6#0#0#2#1#0,0#29#0#0#55#0#0,0#36#0#0#6#0#0,0#1#0#0#36#55#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,2121.json,NotBuggy,NotBuggy,
4075,7#7#7#7#7,0.5706242322921753#0.5706242322921753#0.5706242322921753#0.3630303740501404#0.4230721890926361,0.6180430218073467#0.6180430218073467#0.6180430218073467#0.29997211154623127#0.5468552447442858,1#1#1#1#1,1#1#1#1#1,2#2#2#2#2,2#2#2#2#2,3.02#3.02#3.02#3.02#3.02,1#1#1#1#1,3#3#3#3#3,30.0#30.0#30.0#37.0#37.0,113.80858612060547#113.80858612060547#113.80858612060547#112.54422760009766#112.54422760009766,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#1086#2133#2555#4065,0#0#0#2#1,0#0#0#4#2,0#0#0#6#48,0#0#0#6#8,0#0#0#196#573,0#0#0#0#0,0#0#0#1#0,0#0#0#1#0,5570.json,NotBuggy,NotBuggy,
